Question,Answer,Age,Sex
2. Who is the president?,I don't know his name,5,m
3. How many days have we been in lockdown?,That's too hard...16?,5,m
4. Do you want to go back to school?,YES!,5,m
5. Who is the first person you are going to hug when lockdown is over?,Mrs. Bley (Elizabeth),5,m
6. Where is the first place you want to go?,School,5,m
7. What do you think we can do to get rid of the Coronavirus?,Stay safe at home,5,m
8. Are mommy and daddy good teachers?,Yeah....uhh....maybe,5,m
9. How did the Coronavirus start?,I don't remember...I know it started in London,5,m
11. Are you enjoying the lockdown?,No,5,m
12. What is the best thing about having to stay home?,Being with my family,5,m
1. What is the Coronavirus?,Ohhh.. i think it means your sick so that's why you don't get to go to school or anywhere,5,m
2. Who is the president?,George Washington,5,m
3. How many days have we been in lockdown?,411 and 15,5,m
4. Do you want to go back to school?,Yes! I really do!,5,m
5. Who is the first person you are going to hug when lockdown is over:,Mrs. Pam Hunter,5,m
6. Where is the first place you want to go to?,Chavos,5,m
7. What do you think we can do to get rid of the Coronavirus?,I don't know.. send a message saying let's get rid of this virus,5,m
8. Is mommy a good teacher?,Yes and khloe too. She taught me and Trevor things,5,m
9. How did the Coronavirus start?,I think sick persons came in town and coughed on the ground and the ground made the virus,5,m
10. If you had to wear protective clothing to help you what would it be?,Some boots. A strong jacket. And some goggles. So the coronavirus doesn't get in my eyes.,5,m
11. Are you enjoying lockdown?,No because I miss my teacher and friends and I never get to go to Chavos,5,m
1. What is the Coronavirus?,“Germs”,5,f
2. Who is the president?,"“Oh I know, Trunk”",5,f
3 How many days have we been in lockdown?,“100”,5,f
4. Do you want to go back to school?,“I want to start kindergarten”,5,f
5. Who is the first person you are going to hug?,“Mamaw”,5,f
6. Where is the first place you want to go?,“To my school”,5,f
7. What do you think we can do to get rid of the Coronavirus?,“We keep washing our hands and wash everything we buy and then when mamaw is done with her cancer she can help us and then it will be gone”,5,f
8. Is mommy/daddy a good teacher?,“Yes mommy is”,5,f
9. How did the Coronavirus start?,“People wasn’t washing their hands”,5,f
10. If you had to wear protective clothing to help you what would it be?,“A mask”,5,f
11. Are you enjoying lockdown?,“No because I really want to start kindergarten. I’m a little nervous.”,5,f
1. What is the coronavirus?,It infects you.,5,f
2. Who is the president?,You guys never told me.,5,f
3. How many days have we been in lockdown?,A lot.,5,f
4. Do you want school to start back up?,No.,5,f
5. Who is the first person you are going to hug when lockdown is over?,I'm gonna hug Isabella. (no idea who that is),5,f
6. Where is the first place you want to go?,American Girl!,5,f
7. What do you think we can do to get rid of the Coronavirus?,Keep everyone safe and protect our families and us.,5,f
8. Is mommy a good teacher?,You're not a teacher. You are in afterschool. (lolol),5,f
9. How did the Coronavirus start?,Somebody was sick and then the coronavirus spread.,5,f
10. If you had to wear protective clothing to help you what would it be?,Mask and gloves.,5,f
11. Are you enjoying lockdown?,No. I mean yes. Yes and no.,5,f
12: What are you enjoying most about being home?,Spending time with mama because I always have fuuuuuuuun. (she asked me to add extra u's),5,f
1. What is the Coronavirus?,I dont know,5,m
2. Who is the president?,Huh,5,m
3. How many days have we been in lockdown?,100,5,m
4. Do you want to go back to school?,Yes,5,m
5. Who is the first person you are going to hug when lockdown is over?,Drew,5,m
6. Where is the first place you want to go?,Kindergarten,5,m
7. What do you think we can do to get rid of the Coronavirus?,Go to the dr.,5,m
8. Is mommy a good teacher?,Yeah,5,m
9. How did the Coronavirus start?,I dont know,5,m
11. Are you enjoying the lockdown?,Yeah,5,m
1. What is the Coronavirus?,E- a very bad sickness,5,m
2. Who is the president?,E - uhh... I don’t know.,5,m
3. How many days have we been in lockdown?,E - um lots of day,5,m
4. Do you want to go back to school?,E - yeah,5,m
5. Who is the first person you are going to hug when lockdown ends?,E - um Scout,5,m
6. Where is the first place you want to go?,E - Walmart to get brush fire because I don’t have brush fire,5,m
7. What do you think we can do to get rid of the coronavirus?,E- wear our masks,5,m
8. Is Mommy a good teacher?,E-yeah,5,m
9. How did the Coronavirus start?,E-people getting sick,5,m
10. If you had to wear protective clothing to help you what would it be?,"E-pants, shirt, boots, gloves, masks",5,m
11. Are you enjoying lockdown?,E- yeah,5,m
1. What is the Coronavirus,Sickness,5,f
2. Who is the president,Trump,5,f
3. How many days have we been in lockdown,Couple months,5,f
4. Do you want to go back to church,Yeah,5,f
5. Who is the first person you are going to hug when lockdown is over,Pretty much all my friends,5,f
6. Where is the first place you want to go,Dairy Queen,5,f
7. What do you think we can do to get rid of the Coronavirus,Nothing. I think it’s just going to leave when it leaves.,5,f
8. Is mom a good teacher,Yes,5,f
9. How did the Coronavirus start,"One person gave it to another family, then they gave it to another family & they touched everything in one store & a lot of people got it.",5,f
10. If you had to wear protective clothing to help what would it be,I don’t know. Maybe use ice powers to freeze it.,5,f
11. Are you enjoying the lockdown,No,5,f
12. Are you scared of the Coronavirus,Yes and no,5,f
13. Do you think you could get the Corona virus,Nope.,5,f
1. What is the Coronavirus?,“Where you get sick”,5,f
2. Who is the president?,“I don’t know that one”,5,f
3. How many days have we been in lockdown?,"“15. No, 20”",5,f
4. Do you want to go back to school?,“Yes”,5,f
5. Who is the first person you are going to hug when lockdown is over?,“Beema”,5,f
6. Where is the first place you want to go?,“To Beema’s House”,5,f
7. What do you think we can do to get rid of the Coronavirus?,“Ummm Wait is this all about the coronavirus? Ummm I don’t know that one.”,5,f
8. Is mommy a good teacher?,"“Like you? What do you mean? Oh, Yeah. What if I said no? (Laughing) then I would be out of this house, right??”",5,f
9. How did the Coronavirus start?,“So the bat was sick and then this girl ate the bat and then when she was around these people she got them sick and then all these cities! That’s how it started”,5,f
10. If you had to wear protective clothing to help you what would it be?,“A protection. Guard clothes.”,5,f
11. Are you enjoying lockdown?,“Yes”,5,f
1. What is the Corona virus?,It’s germs so stay away from people,5,m
2. Who is the prime minister?,You and daddy,5,m
3. How many days have we been in lockdown?,100 days,5,m
4. Do you want to go back to school/nursery?,Yes please,5,m
5. Who is the first person you are going to hug when lockdown is over?,Clark Arif Majid because he is my best friend,5,m
6. Where is the first place you want to go?,The movie theatre,5,m
7. What do you think we can do to get rid of the Corona virus?,Stay away from people duh that’s easy,5,m
8. Are mommy and daddy good teachers?,Not really hehehe,5,m
9. How did the Corona Virus start?,A long tome ago someone licked their hands,5,m
10. If you had to wear protective clothing to help you what would it be?,Super pajamas,5,m
11. Are you enjoying lockdown?,No because I miss my best friends,5,m
1. What is the Coronavirus?,Uhhhh....I don’t know,5,m
2. Who is the president?,Santa Claus,5,m
3. How many days have we been in lockdown?,7,5,m
4. Do you want to go back to school/daycare?,"Mmmmhmmmm, to see new friends.",5,m
5. Who is the first person you are going to hug when lockdown is over?,Brooks,5,m
6. Where is the first place you want to go?,Uhhhhhh...Dollar General (),5,m
7. What do you think we can do to get rid of the Coronavirus?,You could kick Corona in the butt,5,m
8. Am I a good teacher?,Yes,5,m
9. How did the Coronavirus start?,"Cause people were getting really, really sick!",5,m
10. If you had to wear protective clothing to help you what would it be?,Like a jacket that pulls over your face but make sure you could still breathe.,5,m
11. Are you enjoying the lockdown?,No!!!!,5,m
12. What is the best thing about having to stay home?,Playing with chickens.,5,m
1. What is the Coronavirus?,When you go outside you get a virus,5,m
2. Who is the president?,Virus of the city,5,m
3. How many days have we been in quarantine?,Ummm like 100 Thousand ,5,m
4. Do you want to go back to school/daycare?,No - cause I just don’t want to,5,m
5. Who is the first person you are going to hug when social distancing is over?,Mom,5,m
6. Where is the first place you want to go?,To the ice cream truck and get ice cream,5,m
7. What do you think we can do to get rid of the Coronavirus?,Stay home and don’t go anywhere,5,m
8. Is mommy a good teacher?,Yes,5,m
9. How did the Coronavirus start?,I don’t know,5,m
10. Are you enjoying the lockdown?,No because I really want to the store without a mask,5,m
1. What is the Coronavirus?,K- “Some viruses like whenever someone coughs and makes germs everywhere.”,5,f
2. Who is the president?,K- “Donald Trump”,5,f
3. How many days have we been in lockdown?,K- “90”,5,f
4. Do you want to go back to school?,K- “Yea”,5,f
5. Who is the first person you are going to hug when lockdown is over?,K- “Amanda Humphrey because I really miss her and she lives here”,5,f
6. Where is the first place you want to go?,K- “Disneyland”,5,f
7. What do you think we can do to get rid of the Coronavirus?,"K- ""Tell China to stop eating bats” DEAD",5,f
8. Is mommy a good teacher?,K- “Yea”,5,f
9. How did the Coronavirus start?,K- “Someone ate a bat”,5,f
10. If you had to wear protective clothing to help you what would it be?,K- “3 million jackets and 4 million hats”,5,f
11. Are you enjoying lockdown?,K- “Yes but I miss my friends”,5,f
1. What is the Corona virus?,Its a cold that can kill you that’s going around.,5,m
2. Who is the prime minister/president?,Trump. He’s an idiot and evil.,5,m
4. Do you want to go back to school?,R: No. Well... what do you mean by that?,5,m
5. Who is the first person you are going to hug when lockdown is over?,R: You (mom) & Baby!,5,m
6. Where is the first place you want to go?,Beach & Disneyland,5,m
7. What do you think we can do to get rid of the Corona virus?,Go microscopic and shoot all the coronavirus while wearing masks!,5,m
8. Am I a good teacher?,Yes.,5,m
9. How did the corona virus start?,I don’t know.,5,m
10. If you had to wear protective clothing to help you what would it be?,A robot suit.,5,m
11. Are you enjoying lockdown?,Yes. I like being home with my family & playing video games with my dad.,5,m
1. What is the Coronavirus?,Umm..hmm..that people get sick.,5,f
2. Who is the president?,"Umm...don’t know. George Washington..no, that’s not right!",5,f
3. How many days have we been in lockdown?,Umm..100,5,f
4. Do you want to go back to school?,Yes.,5,f
5. Who is the first person you are going to hug when lockdown is over?,Abigail,5,f
6. Where is the first place you want to go?,American Girl Doll Store,5,f
7. What do you think we can do to get rid of the Coronavirus?,Clean the things you touch.,5,f
8. Is mommy a good teacher?,Yes.,5,f
9. How did the Coronavirus start?,When one person touched someone else who was sick and then that person touched someone else and on and on,5,f
10. If you had to wear protective clothing to help you what would it be?,"Long sleeve shirt, long pants, gloves and mask.",5,f
11. Are you enjoying lockdown?,Yes but I miss my friends.,5,f
1. What is the coronavirus?,When everybody is sick,5,f
2. Who is the president?,Trumpet (she was close),5,f
3. How many days have we been in lockdown?,A lot,5,f
4. Do you want to go back to school?,YES to see all of my friends because I miss my friends so badly,5,f
5. Who is the first person you are going to hug when lockdown is over?,My parents,5,f
6. Where is the first place you want to go?,The playground,5,f
7. What do you think we can do to get rid of the coronavirus?,Get a doctor to see them,5,f
8. Is momma a good teacher ?,Yes,5,f
9. How did the coronavirus start?,No clue,5,f
"10. If you had to wear protective clothing to help you, what would you wear?","A mask, coat, and long sleeves",5,f
11. Are you enjoying lockdown?,"NO no no no no no definitely no because I can’t go to the playground, I can’t go see my friends, I can’t visit my friends, I can’t help daddy with work, I can’t do any of that stuff, right?",5,f
1. What is the Coronavirus?,"Something in your lung, cough, nurses help people with it.",5,m
2. Who is the President?,Donald trunk,5,m
3. How many days have we been in lockdown?,5 days,5,m
4. Do you want to go back to normal?,"I want people be safe, I want virus gone so I can go in stores!",5,m
5. Who is the first person you are going to hug when lockdown is over?,Juju,5,m
6. Where is the first place you want to go?,Dollar store,5,m
7. What do you think we can do to get rid of the Coronavirus?,Let people get them fist and punch it in the mouth!,5,m
8. Is mommy a good teacher?,Juju is,5,m
9. How did the Coronavirus start?,At 28?,5,m
10. If you had to wear protective clothing to help you what would it be?,Mask,5,m
11. Are you enjoying lockdown?,No,5,m
1. What is the corona virus, a sickness,5,f
2. Who is the president, God,5,f
3. How many days have we been in lockdown,50,5,f
4. Do you want to go back to school, More than anything,5,f
5. Who is the first person you are going to hug when lockdown is over, Gianna my best friend,5,f
6. Where is the first place you want to go, School!,5,f
7. What do you think we can do to get rid of the Coronavirus," Stay at home, and no hugs and kisses",5,f
8. Is mom a good teacher, Yes we’ll some days your bad at it,5,f
9. How did the Coronavirus start, Well because somebody ate a bat. Bat,5,f
10. If you had to wear protective clothing to help you what would it be, My masks,5,f
11. Are you enjoying the lockdown," No, Because we have to stay home too much",5,f
1. What is the Coronavirus, Sickness,5,f
2. Who is the president, Trump,5,f
3. How many days have we been in lockdown,  Couple months,5,f
4. Do you want to go back to church?,Yeah,5,f
5. Who is the first person you are going to hug when lockdown is over,  Pretty much all my friends,5,f
6. Where is the first place you want to go, Dairy Queen,5,f
7. What do you think we can do to get rid of the Coronavirus, Nothing. I think it’s just going to leave when it leaves.,5,f
8. Is mom a good teacher,  Yes,5,f
10. If you had to wear protective clothing to help what would it be,  I don’t know. Maybe use ice powers to freeze it.,5,f
11. Are you enjoying the lockdown,  No,5,f
12. Are you scared of the Coronavirus,  Yes and no,5,f
13. Do you think you could get the Corona virus, Nope.,5,f
1. What is the corona virus?,L - Germs from your hands,5,f
2. Who is the president?,L - Jesus,5,f
3. How long have we been in lockdown?,L - 2 years,5,f
4. Do you want to go (back) to school?,L - Yes! I'm freaking out and so excited,5,f
5. Who is the first person you are going to hug when lockdown is over?,L - Scarlett (cousin),5,f
6. Where is the first place you want to go?,L - Kids Empire,5,f
7. What do you think we can do to get rid of the Coronavirus?,L - Be patient and wait,5,f
8. Is mom a good teacher?,L - Yeah,5,f
9. How did the Coronavirus start?,L - From people not washing their hands,5,f
10. If you had to wear protective clothing to help you what would it be?,L - Jackets & Sweaters,5,f
11. Are you enjoying the lockdown?,L - Umm NO I like playing with friends,5,f
"12.  When you think of these times, what are you going to remember the most?",L - Eating,5,f
1. What is the Coronavirus?,"It’s a sickness, but we have to go to the hospital.",5,m
3. How many days have we been in lockdown?,700 years,5,m
4. Do you want to go back to school?,"No, next question.",5,m
5. Who is the first person you are going to hug when lockdown is over?,"Umm, Cayden.",5,m
6. Where is the first place you want to go?,To Chuck E Cheese,5,m
7. What do you think we can do to get rid of the coronavirus?,"Umm, stay on lock down",5,m
8. Are mom and dad good teachers?,"Um, yes",5,m
9. How did the Coronavirus start?,"Um, I DONT KnOW",5,m
"10. If you had to wear protective clothing to help you, what would you wear?","Um, a mask and some warm clothes.",5,m
11. Are you enjoying the lockdown?,"Uh, yes because I get to stay home.",5,m
1. What is the Coronavirus?,Maddie-it’s green and can make you sick.,5,f
2. Who is the president?,Maddie-President Trump,5,f
3. How many days have we been in lockdown?,Maddie-a lot,5,f
4. Do you want to go back to school?,Maddie-yes!! I miss my friends!,5,f
5. Who is the first person you are going to hug when lockdown is over?,Maddie-my best friend,5,f
6. Where is the first place you want to go?,Maddie-movie theater and toy store,5,f
7. What do you think we can do to get rid of the Coronavirus?,Maddie-sing a song and tell it to go away.,5,f
8. Are mommy and daddy good teachers?,Maddie-Yup,5,f
9. How did the Coronavirus start?,"Maddie-well, it came from an animal",5,f
10. If you had to wear protective clothing to help you what would it be?,Maddie- space suit with protective armor and space helmet.,5,f
11. Are you enjoying lockdown? Why?,Maddie-no! I miss school and shopping at the toy store.,5,f
1. What is the Coronavirus?,Corona,5,m
2. Who is the president?,Me,5,m
3. How many days have we been in lockdown?,3 days,5,m
4. Do you want to go back to school?,No,5,m
5. Who is the first person you are going to hug when lockdown is over?,Max,5,m
6. Where is the first place you want to go?,Inside the tv,5,m
7. What do you think we can do to get rid of the Virus?,Shoot up in the sky,5,m
9. How did the Coronavirus start?,By Mexico,5,m
10. If you had to wear protective clothing to help you what would it be?,Any clothes,5,m
11. Are you enjoying the lockdown?,Yep,5,m
1. What is the Coronavirus?,Mmm sickness,5,m
3. How many days have we been in lockdown?,20,5,m
4. Do you want to go back to school?,"I want to go to Kindergarten, yes.",5,m
5. Who is the first person you are going to hug when lockdown is over?,Daddy,5,m
6. Where is the first place you want to go?,Right here,5,m
7. What do you think we can do to get rid of the Coronavirus?,"Wash your hands all the time, I think",5,m
8. Is mom a good teacher?,Yeah,5,m
9. How did the Coronavirus start?,I do not even know,5,m
10. If you had to wear protective clothing to help you what would it be?,"Mask, coronavirus clothes, just that and a shirt",5,m
11. Are you enjoying the lockdown?,I want to play flag football,5,m
1. What is the Coronavirus?,A virus,5,f
2. Who is the president?,Idk,5,f
3. How many days have we been in lockdown?,Infinite,5,f
4. Do you want to go back to school?,No,5,f
5. Who is the first person you are going to hug when the virus is over?,Carrsin,5,f
6. Where is the first place you want to go?,To Sullivan’s house,5,f
8. Is Mom a good teacher?,My Dad is,5,f
9. How did the Coronavirus get started?,China,5,f
10. If you had to wear protective clothing to help you what would it be, Super Girl outfit,5,f
11. Are you enjoying the lockdown?,Yea,5,f
12. What is your favorite thing about staying home?,Playing with my friends,5,f
1. What is the Coronavirus?,Thing you get sick,5,m
2. Who is the president?,A Cop,5,m
3. How many days have we been in lockdown?,40,5,m
4. Do you want to go back to school?,Yea,5,m
5. Who is the first person you are going to hug when lockdown is over?,Jo Heard our next door neighbor,5,m
6. Where is the first place you want to go?,Vacation,5,m
7. What do you think we can do to get rid of the Coronavirus?,Spray our yards!,5,m
8. Are mom and dad good teachers?,No....,5,m
9. How did the Coronavirus start?,Cause of Sick people,5,m
10. Are you enjoying the lockdown?,No!,5,m
11. What is the thing you miss doing the most since the Lockdown started?,Seeing Oma And Pops,5,m
1. What is the Coronavirus?,It’ll make you get sick.,5,m
2. Who is the president?,Donald Trumpet,5,m
3. How many days have we been in lockdown?,A lot,5,m
4. Do you want to go back to school?,Yah!,5,m
5. Who is the first person you are going to hug when the virus is over?,Klay,5,m
6. Where is the first place you want to go?,Breakfy  (aviston family restaurant),5,m
7. What do you think we can do to get rid of the virus?,"I don’t know, I’m 5 years old!",5,m
8. Is mom a good teacher?,Yah!,5,m
9. How did the Coronavirus start?,It just started by itself,5,m
11. Are you enjoying the lockdown? (Time at home),Yah,5,m
12. What is your favorite thing about staying home?,Playing with Klay,5,m
1. What is the coronavirus?,Levi: it’s a virus,5,m
2. Who is the president?,Levi: Donald Trump,5,m
3. How many days have we been in lockdown?,Levi: 100 million,5,m
4. Do you want to go back to school?,Levi: No,5,m
5. Who is the first person you are going to hug when lockdown is over?,Levi: Nanny and you,5,m
6. Where is the first place you want to go?,Levi: the park,5,m
7. What do you think we can do to get rid of coronavirus?,Levi: IDK - maybe spray for germs,5,m
8. Are mommy and daddy good teachers?,Levi: you and nanny and pa and daddy are the best teachers,5,m
9. How did the coronavirus start?,Levi: started in April,5,m
"10. If you had to wear protective clothing to help you stay safe, what would it be?",Levi: I won’t wear something but I’ll be a big green monster,5,m
11. Are you enjoying the lockdown?,Levi: yes,5,m
12. What is the best thing about having to stay home?,Levi: letting us play games,5,m
1. What is the Coronavirus?,Stuff that makes you die,5,m
2. Who is the president?,I don’t know,5,m
3. How many days have we been in lockdown?,A lot....actually 300,5,m
4. Do you want to go back to school,Yes,5,m
5. Who is the first person you are going to hug when lockdown is over,Tyson (Camie Bauwens),5,m
6. Where is the first place you want to go,Target,5,m
7. What do you think we can do to get rid of the Coronavirus,Smash it down,5,m
8. Is mom a good teacher,Yes,5,m
9. How did the Coronavirus start,It “spreaded” all over the place in Kentucky and every state,5,m
10. If you had to wear protective clothing to help you what would it be,Armour,5,m
11. Are you enjoying the lockdown,NO because I want to have play dates with Jackson (Stephanie Cooper) and Tyson,5,m
10. If you had to wear protective clothing to help you what would it be? Super Girl outfit,NA,5,f
Liliana - 5,Elena - 3,5,f
1. What is the Coronavirus,The coronavirous is a sickness going around the city.,5,m
2. Who is the president,Donald Trump,5,m
3. How many days have we been in lockdown,I would say like ummmm 13 days.,5,m
4. Do you want to go back to school,Ummm kinda. I would rather play so I would change my answer to no.,5,m
5. Who is the first person you are going to hug when lockdown is over,Maya,5,m
6. Where is the first place you want to go,Sky Zone,5,m
7. What do you think we can do to get rid of the Coronavirus,Go to hospital and get tested.,5,m
8. Is mom a good teacher,Kinda,5,m
9. How did the Coronavirus start,My friend Aubree said from eating bats.,5,m
10. If you had to wear protective clothing to help you what would it be,Of course clothes so probably just a mask.,5,m
11. Are you enjoying the lockdown,Yes because I don't have to go to school.,5,m
1. What is Coronavirus,A monkey,5,m
2. Who is the president,Donald duck,5,m
3. How many days have we been in lockdown,4000,5,m
4. Do you want to go back to School,Umm yes,5,m
5. Who is the first person you are going to hug when lockdown is over,Uhh mrs timmons. Missy LeMay Timmons,5,m
6. Where is the first place you want to go,Hotel and water park,5,m
7. What do you think we can do to get rid of the Coronavirus,Um destroy it,5,m
9. How did the Coronavirus start,It came out of no where,5,m
10. If you had to wear protective clothing to help you what would it be,Um a jacket that covers your whole body even your back and your face that has holes in it.,5,m
11. Are you enjoying the lockdown,No,5,m
12. Are you scared of the Coronavirus,No,5,m
13. Do you think you could get the Corona virus,No,5,m
1. What is the Coronavirus?,Um it's I don't member.,5,m
2. Who is the president?,God,5,m
3. How many days have we been in lockdown (staying at home)?,So many,5,m
4. Do you want to go back to school?,Oh yeah,5,m
5. Who is the first person you are going to hug when “all this stuff” is over?,Bruce and Margo and all my church class,5,m
7. What do you think we can do to get rid of the Coronavirus?,Use a fire extinguisher,5,m
8. Is mommy a good teacher?,Yes!,5,m
9. How did the Coronavirus start?,Someone..who?,5,m
11. Are you enjoying the lockdown?,No!!,5,m
1. What is the Coronavirus?,A germ that spreads,5,f
2. Who is the president?,Afrin President,5,f
3. How many days have we been in lockdown?,15 weeks,5,f
4. Do you want to go back to school?,Yes,5,f
5. Who is the first person you are going to hug when lockdown is over?,Miss Maggie,5,f
6. Where is the first place you want to go?,School,5,f
7. What do you think we can do to get rid of the Coronavirus?,Stay at home and be safe.,5,f
8. Is mom a good teacher?,Uhhh no I mean yes.,5,f
9. How did the Coronavirus start?,By people not being safe and one person had the Coronavirus that got out and they sneezed or coughed.,5,f
10. If you had to wear protective clothing to help you what would it be?,An astronaut thing.,5,f
11. Are you enjoying the lockdown?,No! Because I wanna go back to school!,5,f
1. What is the Coronavirus?,The sickness,5,f
2. Who is the president?,President Trump,5,f
3. How many days have we been on lock down?,Forever,5,f
5. Who is the first person you are going to hug when lockdown is over?,Ellie Garner,5,f
6. Where is the first place you want to go?,The Beach,5,f
7. What do you think we can do to get rid of Corona virus?,Help people,5,f
9. How did the Coronavirus start?,From the news about the sickness,5,f
10. If you had to wear protective clothing to help you what would it be?,Shirts,5,f
11. Are you enjoying the lockdown?,Mmmmm... no. I like going to places,5,f
Answered by,"Eli,  5",5,m
1. What is the Coronavirus?,- It’s really bad!,5,m
2. Who is the president?,"- Donald “Trunk!” ( I’ve tried correcting him and he ain’t having it. So, Donald Trunk it is. Lol)",5,m
3. How many days have we been in lockdown?,- 7 years,5,m
4. Do you want to go back to school?,-  NO!,5,m
5. Who is the first person you are going to hug when lockdown is over?,-  Bec Bec!,5,m
6. Where is the first place you want to go?,- The beach and the mountains.,5,m
7. What do you think we can do to get rid of the Coronavirus?,- Pray! He can take it away.,5,m
8. Is your mom a good teacher?,- I miss Ms. Nona.   (Well then. ),5,m
9. How did the Coronavirus start?,- In China!,5,m
"10. If you had to wear protective clothing to help you, what would it be?",- I’m tired of these questions.,5,m
11. Are you enjoying the lockdown?,- No. I’m ready to go to the beach and the mountains.,5,m
12. What is your favorite thing we do at home?,Ride my bike! I said I’m tired of these questions.,5,m
1. What is the coronavirus?,Because people are getting sick,5,f
2. Who is the president ?,Donald trump - but he died from all that storm,5,f
3. How many days have we been in lockdown?,When I was 4,5,f
4. Do you want to go back to school?,Yeah I miss all my friends I want to see them,5,f
5. Who is the first person you are going to hug when lockdown is over?,Daddy,5,f
7. What do you think we can do to get rid of the Coronavirus?,I don’t know maybe staying away from people,5,f
8. Is mom a good teacher?,Yeah,5,f
9. How did the Coronavirus start?,Because everybody was sick,5,f
10. If you had to wear protective clothing to help you what would it be?,All my clothes to make me safe,5,f
11. Are you enjoying the lockdown?,Yeah but I’m not enjoying not kissing daddy cuz I wanna kiss daddy cuz I love him but our kiss right now is head butts!!,5,f
12. What date will everything go back to normal?,When all the people not get sick,5,f
1. What is the Cornavirus?,It has red spines on it,5,?
2. Who is the president?,"Ugh, Donald Trump",5,?
3. How many days have we been in lockdown,For like a million years,5,?
4. Do you want to go back to school,Yes I like school,5,?
5. Who is the first person you are going to hug when lockdown is over,Lacy Bergeron,5,?
6. Where is the first place you want to go,Iowa city,5,?
7. What do you think we can do to get rid of the  coronavirus,We should spray the whole town,5,?
8. Is mom a good teacher,Yes,5,?
9. How did the Coronavirus start,It started off with people being sick,5,?
"10. If you had to wear protective clothing to help you, what would it be",Spray and a face mask and body protective,5,?
11. Are you enjoying the lockdown,Yes! Are you,5,?
12. What is your favorite thing we do at home,Hang out outside,5,?
1. What is the Coronavirus?,Sick and cough,5,f
2. Who is the president?,I don’t know,5,f
3. How many days have we been in lockdown?,11 days.,5,f
4. Do you want to go back to school?,"No, because of the coronavirus",5,f
5. Who is the first person you are going to hug when lockdown is over?,"Wyatt, Emery, Diego, Benji and Clayton. ( she can’t decide)",5,f
6. Where is the first place you want to go?,Disneyland,5,f
7. What do you think we can do to get rid of the Coronavirus?,Masks and wash your hands,5,f
8. Is mom a good teacher?,Aha yes,5,f
9. How did the Coronavirus start?,The virus was flying around,5,f
10. If you had to wear protective clothing to help you what would it be?,"A mask, tutu, pants and gloves to keep me warm. Done",5,f
11. Are you enjoying the lockdown?,"No, because I want to go to Disneyland",5,f
1. What is the Coronavirus,A virus that kills people,5,m
3. How many days have we been in lockdown,A year,5,m
4. Do you want to go back to school,Yes because I really like school,5,m
5. Who is the first person you are going to hug when lockdown is over,Mrs. Lexi,5,m
6. Where is the first place you want to go,McDonalds,5,m
7. What do you think we can do to get rid of the coronavirus,Keep finding people with the coronavirus and bring them to the hospital,5,m
8. Is daddy a good teacher,Yeah,5,m
9. How did the Coronavirus start,Someone ate a bat that was alive,5,m
10. If you had to wear protective clothing to help you what would it be,Mask,5,m
11. Are you enjoying the lockdown,No because I want to go out and play with people,5,m
1. What is the Coronavirus?,A stupid virus,5,m
2. Who is the president?,I don't know,5,m
3. How many days have we been in lockdown?,20 hundred,5,m
4. Do you want to go back to school?,No. Stay home with you Mama.,5,m
5. Who is the first person you are going to hug when the virus is over?,Mommy,5,m
6. Where is the first place you want to go?,To the toy store or Target,5,m
7. What do you think we can do to get rid of the virus?,Whack the bug and kill it. Because you know the virus is a bug. If we find the right bug then we can whack it and kill it.  Show me a picture of the bug.,5,m
8. Is Mom a good teacher?,No. You are not a teacher.,5,m
9. How did the Coronavirus get started?,Because the bug came to town,5,m
10. If you had to wear protective clothing to help you what would it be?,We can wear whatever we want just as long as we wear a mask.,5,m
11. Are you enjoying the lockdown?,Uh NO,5,m
12. What is your favorite thing about staying home?,Ummm...me and Mommy not doing work,5,m
1. What is the Corona virus?,NA,5,f
2. Who is the prime minister?,I don’t know,5,f
3. How many days have we been in lockdown?,14 days,5,f
4. What does mammy wear most days?,Clothes....pants and knickers,5,f
5. Do you want to go back to school?,No way!,5,f
6. Who is the first person you are going to hug when lockdown ends?,Mummy and Luna,5,f
7. Where is the first place you want to go?,Grandmas and grandads... actually nana and papas,5,f
8. What do you think we can do to get rid of the Corona virus?,Clap,5,f
9. Is mammy a good teacher?,No,5,f
10. If corona virus was an animal what animal would it be?,Cat,5,f
11. How did the Corona Virus start?,When I was born,5,f
12.If you had to wear protective clothing to help you what would it be?,A house,5,f
1. What is the Corona virus?,A kinda bug that is a new bug with new symptoms,5,f
2. Who is the prime minister?,I have no idea,5,f
3. How many days have we been in lockdown?,77 days,5,f
4. What is mummy wearing today?,Her hole jeans and her bronze kind of top,5,f
5. Do you want to go back to nursery/school?,No,5,f
6. Who is the first person you are going to hug when lockdown ends?,Daddy and Ava,5,f
7. Where is the first place you want to go?,The new swimming pool in Amersham,5,f
8. What do you think we can do to get rid of the Corona virus?,A jab or vaccine!,5,f
9. Is mummy a good teacher?,Medium....a good writing teacher!,5,f
10. If corona virus was an animal what animal would it be?,An elephant,5,f
11. How did the Corona Virus start?,It travelled around from hand to hand,5,f
12. If you had to wear protective clothing to help you what would it be?,A mask and one whole yellow protective outfit,5,f
1. What is Coronavirus?,A thing you have to stay away from,5,f
2. Who is the prime minister?,Don't know,5,f
3. How many days have we been in lockdown?,100,5,f
4. What is mummy wearing today?,A tshirt and joggers,5,f
